ID,author,year,language,temporal_period,n_stanzas,text,text_en
UP1184_1,Halyna Kruk,2022.0,Ukrainian,post_2022,3,"літературний менеджер від Бога

ближче до кінця дві тисячі двадцять другого
у неї накопичилося стільки унікального досвіду,
на який жодного резюме не вистачить:
- досвід організації велелюдної події
- досвід організації велелюдної літературної події 
без розповсюдження інформації про подію, 
коли під час карантину велелюдні події були заборонені, 
- без повідомлень до останнього, де і коли вона відбудеться
- без реєстрації, коли велелюдні події нарешті дозволили,
- без афіш, коли боялися зумисних прильотів,
- без електрики, коли її почали вимикати, 
- при свічках, при генераторах, при динамомашинами, 
- у машинних залах, у підпільних казино, у нічних клубах
- у випадкових підвальних приміщеннях, 
коли зверху таки прилітало,
- з багатотисячними зборами на військові потреби,
- з мільйонними переглядами по усіх континентах
- із зірковими гостями, які змагалися за запрошення на виступ,
- із записом на місяць наперед, щоб змогти потрапити,
- із постійною глядацькою передплатою...

- із таким досвідом ти точно не залишишся без роботи, - 
казав їй чоловік, - в майбутньому тобі світить крута кар'єра!
- аякже, - хмикала вона, - мене обов'язкого запросять
організувати кінець світу! але я відмовлюсь
і додавала про себе: 
бо кінець світу треба зустрічати у вузькому сімейному колі","literary manager from God // Nearer to the end of two thousand twenty and second,
In her hath accumulated so much unique experience,
To which no resume shall suffice:
- experience of organizing a grand event
- experience of organizing a grand literary event
Without the dissemination of information about the event,
When during the quarantine grand events were forbidden,
- without announcements until the last, where and when it shall take place
- without registration, when grand events were finally permitted,
- without posters, when they feared intentional arrivals,
- without electricity, when it began to be turned off,
- by candlelight, by generators, by dynamo machines,
- in machine halls, in underground casinos, in night clubs
- in random basement premises,
When above it did indeed arrive,
- with thousands gathered for military needs,
- with millions of views across all continents
- with star guests, who did compete for invitations to perform,
- with bookings a month in advance, to be able to attend,
- with constant audience subscriptions... // - with such experience thou shalt surely not remain without work, -
Said he to her, - in the future doth shine a cool career for thee!
- Indeed, - she did hum, - they shall surely invite me
To organize the end of the world! But I shall refuse
And she did add to herself:
For the end of the world must be met in a narrow family circle"
UP1191_1,Halyna Kruk,2022.0,Ukrainian,post_2022,1,"#довоєнні_вірші як все змінилося, здається, що безповоротно","#pre-war verses, how all hath changed, it seemeth that irrevocably."
UP1198_1,Iya Kiva,2022.0,Ukrainian,post_2022,8,"мертві діти стоять за нашими спинами –
чорні й прозорі, червоні й з обличчями попелястими –
немовби нанизують прапорці із паперу
на довгу як ніч без любові шворку життя

і спалахи тиші запалюють свічку надії –
єдину на всіх – тільки так обіймають в притулку

ми ж сходи терпіння долаємо листя за листям
на дерев’яних з безсоння ногах

і ходимо високо – аж до дзвонів небесних –
між крихт металевих і вирваних язиків
шукаючи в шпарках для віри втрачений слух

всі псалми падіння – тінь страху, що полишив нас першим

час плавиться, час, наче світло, змінює колір –
так річка приймає в свій дім владу землі
і шлях розгортає немовби долоні довіри
в яких порожнеча вирощує подорожник

а там де ножем зрізають імено води –
не скрапує кров – там пробивається голос

грудень 2022","Dead children dost stand behind our backs –
Black and transparent, red and with faces ash-colored –
As if they dost string paper flags
Upon a length as night without love, a cord of life. // And the flashes of silence dost kindle a candle of hope –
The only one for all – thus dost they embrace in refuge. // We dost overcome the stairs of patience leaf by leaf
Upon wooden legs of sleeplessness. // And we dost walk high – even unto the bells of heaven –
Amidst the crumbs of metal and torn tongues
Seeking in the cracks for faith the lost hearing. // All psalms of falling – the shadow of fear that hath forsaken us first. // Time dost melt, time, as light, dost change color –
Thus the river dost accept into its home the power of the earth
And dost unfold the path as if the palms of trust
In which emptiness dost cultivate the plantain. // And there where they dost cut the name of water with a knife –
No blood dost drip – there dost break forth a voice. // December 2022"
UP1201_1,Oleh Kotsarev,2022.0,Ukrainian,post_2022,8,"СВІТ САМШИТ

Світе!
Хиткий самшите!
Гладжу тебе до себе й від себе, говорю тебе і до тебе
із Замкової гори у Вінниці.

На горі й нагорі
раніше можна було стояти, додолу дивитися
та вважати,
що можеш до світу схилитися,
ногою почовгати, волоссям полоскотати,
рукою порозкуйовдити —
суцільне дійство про велику людину.

А потім світ перевернувся
й, здається, висить тепер наді мною,
дихає,
ворушиться,
на чому тримається — навіть думать не хочеться.

Та ми й зараз розваг знайдемо:
наприклад,
облаштувати театр із воронами.

Світе!
Зелений самшите!
Запахи линуть, мов плавні річкові,
люди линуть камінцями гірськими,
а з того боку річки
в музеї висить
і, мабуть, мікроскопічно погойдується
така іграшкова, зворушлива
картина “Евакуація” Воувермана —
цілую її,
доки не бачать музейниці.

І ось ми, як чайки,
обганяємо течію,
квилимо про ціну назви своєї,
а при мостах ловимо хліб у повітрі,
невпіймані ж крихти
відносить надійний весняний дід-вітер.

За що хапатись?
Може, за те, як тіні невпинно і непереможно
їздять твоїми структурами,
світе, самшите?
Чи і не треба хапатись,
мовчазний, багатомовний світе, самшите?","WORLD OF BOXWOOD // O World!  
Wobbly boxwood!  
I stroke thee to myself and from myself, I speak to thee and unto thee  
from the Castle Hill in Vinnytsia. // Upon the hill and above it  
previously one could stand, gaze downwards  
and reckon,  
that thou couldst incline to the world,  
shuffle with thy foot, tickle with thy hair,  
ruffle with thy hand —  
a continuous act concerning a great man. // And then the world hath turned upside down  
and, it seemeth, now hangeth above me,  
breathing,  
moving,  
upon what it doth rest — even to think it doth not please. // Yet we even now shall find amusements:  
for example,  
to arrange a theatre with crows. // O World!  
Green boxwood!  
Scents waft, as river meadows,  
people drift like mountain pebbles,  
and from that side of the river  
in the museum hangeth  
and, perchance, doth sway microscopically  
such a toy, touching  
picture ""Evacuation"" of Vouverman —  
I kiss it,  
until the museum attendants see not. // And lo! we, like seagulls,  
outpace the current,  
we cry out concerning the price of our name,  
and at the bridges we catch bread in the air,  
the uncatchable crumbs  
the reliable spring grandfather-wind doth carry away. // For what should one grasp?  
Mayhap, for that which shadows unceasingly and invincibly  
drive through thy structures,  
O world, boxwood?  
Or is it not needful to grasp,  
silent, multilingual world, boxwood?"
UP1230_2,Anton Polunin,2018.0,Ukrainian,2014_2021,1,"1.
саванарольський лис джоні коуп
програв президентські вибори
викрав кейс повний чорних кристалів 
з державного скарбу
і
вкупі з п'ятьма приплічниками
на цивільних скутерах з перебитими номерами
посунув до залізного хебта
щоб дістатися непідконтрольного республіці космодрому
і чкурнути до аельхорма
2.","The savanarolese fox, Johnny Coop, hath lost the presidential elections, and hath stolen a case full of black crystals from the state treasury. And together with five accomplices on civil scooters with their numbers defaced, he hath moved towards the iron Hebta to reach the ungoverned republic's cosmodrome, and to flee to Aelkhorm."
UP137_1,Oleksandr Irvanets,2014.0,Ukrainian,2014_2021,1,"ВІРШ ПОЗАВЧОРАШНІЙ 
***
Світ на плястери покроївся 
Й сам себе жере-намина. 
І така вже вона українська, 
Ця наша мирна війна.
Хтось назве це ""пошук балансу"", 
Хтось насмішливо ""куля в лоб"". 
Та без нас вона б не збулася, 
І без неї нас не було б...","The world hath been covered in patches,  
And it doth consume itself.  
And so it is, this Ukrainian one,  
This our peaceful war.  
Some shall call it ""the search for balance,""  
Some mockingly ""a bullet to the forehead.""  
Yet without us, it would not have come to pass,  
And without it, we would not have been...  
"
UP1544_1,Alex Averbuch,2017.0,Ukrainian,2014_2021,1,"http://litcentr.in.ua/publ/279-1-0-17488
лист 13.XI.43 р лист от 
твоєй подруги гані до своєй
подруги марусі письмо писать
я начинаю своєй дрожащою рукой
привет з любові поселаю своєй
подрузі дорогой повідомляю я
тибе що я до которого часу жива
здорова того тобі желаю усего
найлучого у твому молодому 
квітучому житі і от маруся","A letter from thy friend Hania to her friend Marusia, I dost begin to write with mine trembling hand. I shall send greetings from love to thee, mine dear friend. I dost inform thee that I am alive and well until which time I wish thee all the best in thy young blooming life, and lo, Marusia."
UP16_2,Oleksandr Irvanets,2014.0,Ukrainian,2014_2021,1,"Новорічна пісня рине 
Від дверей і до дверей, 
І встає моя країна 
Не лише на Сашу Ґрей!","The New Year's song doth flow
From door to door, and doth arise
My country not only for Sasha Grey!"
UP1635_1,Mykhailo Zharzhailo,2022.0,Ukrainian,post_2022,1,"у повітрі кипить густий тютюн
підлаштуйся під одну 
із запропонованих фонограм
свою не можна
викопав шмат землі
тримаючи за траву
наче голову
поклав як тортик","In the air doth boil thick tobacco.  Adjust thyself to one of the proposed phonograms.  Thy own cannot be.  I have dug a piece of earth,  holding by the grass,  as if it were a head.  I laid it down like a cake."
UP1688_1,Elizaveta Zharikova,2022.0,Ukrainian,post_2022,1,"Я прибилась до цього племені
однією з останніх
у найтемнішу з годин 
коли нишкнуть зорі й ліхтарі 
і сліпці хапають за руку першого-ліпшого
Я прийшла сюди шукати собі твердої ходи
й теплого голосу
бо загублена була земле
хвора й знесилена 
Моє горло вхопилося за твої пісні й зміцніло
моє тіло мов чуже танцювало твої ритми між вдихом і видихом 
і розпрямлялося
Я вчилася захищати тебе
немов дитина 
що не віддає принесене з дощу й вітру цуценя
Я співала пісень над тихими-тихими водами
під ясними зорями 
і носила квіти до чужих могил
поки не поклала в землю перших своїх
Ти доростила мене земле 
до висоти й глибини
долоні в долоні
теплого кола
Тепер я слухаю твоє пташине серце 
і співаю колискову
поки над чорним-чорним містом
у чорнім-чорнім небі
котиться чорне-чорне яйце
І ми міцніше стискаємо руки
ми до болю розплющуємо очі","I have come to this tribe, one of the last, in the darkest of hours, when the stars and lanterns dost fall silent, and the blind grasp the hand of the first they find. I have come hither to seek for myself a firm stride and a warm voice, for I was lost upon the earth, sick and weary. My throat hath grasped thy songs and hath grown strong; my body, as if a stranger, danced to thy rhythms 'twixt breath and exhalation, and did straighten. I did learn to defend thee, as a child that doth not relinquish the puppy brought from rain and wind. I did sing songs above the quiet, quiet waters, beneath the bright stars, and did bear flowers to foreign graves, until I laid in the earth my first. Thou hast nurtured me, O earth, to height and depth, palm in palm, in a warm circle. Now I dost listen to thy bird-like heart and sing a lullaby, whilst above the black, black city, in the black, black sky, rollest a black, black egg. And we dost clasp our hands more tightly; we dost open our eyes to the pain. // We are at last prepared to leap into this dreadful height, lest the newly born chick dost break when it doth first attempt to fly. I thank all who did defend and who dost now defend Ukraine! This poem is not of today, yet let it remain here now."
